model,oyear,horizon,cov90,cov50,n,origins,region,assessed,in_band,target
m1_lightgbm_v3_raw+pooled,2019,5,0.8723104765734969,0.37361753468731146,4973,10,assessable,True,True,all
m1_lightgbm_v3_raw+pooled,2019,6,0.8752793920429146,0.37706750111756815,4474,9,assessable,True,True,all
m1_lightgbm_v3_raw+pooled,2020,1,0.8379721669980119,0.31709741550695825,1006,2,assessable,False,False,all
m1_lightgbm_v3_raw+pooled,2020,2,0.738,0.276,500,1,assessable,False,False,all
m1_lightgbm_v3_raw+pooled,2021,1,0.9094163981382026,0.37808807733619765,2793,6,assessable,True,True,all
m1_lightgbm_v3_raw+pooled,2021,2,0.9368043087971275,0.3859964093357271,2785,6,assessable,True,False,all
m1_lightgbm_v3_raw+pooled,2021,3,0.9474820143884892,0.497841726618705,2780,6,assessable,True,False,all
m1_lightgbm_v3_raw+pooled,2021,4,0.9359251259899208,0.5172786177105831,2778,6,assessable,True,False,all
m1_lightgbm_v3_raw+pooled,2021,5,0.9322033898305084,0.5286693112152903,2773,6,assessable,True,False,all
m1_lightgbm_v3_raw+pooled,2021,6,0.9215473608098337,0.571583514099783,2766,6,assessable,True,True,all
m1_lightgbm_v3_raw+pooled,2022,1,0.8954710144927536,0.39710144927536234,5520,12,assessable,True,True,all
m1_lightgbm_v3_raw+pooled,2022,2,0.9090744101633393,0.4192377495462795,5510,12,assessable,True,True,all
m1_lightgbm_v3_raw+pooled,2022,3,0.9287272727272727,0.4167272727272727,5500,12,assessable,True,True,all
